personID,traj
1,"['5','4','2','2','2','0','2','6.5','3','4','3','3.5','0']"
2,"['1','3','5','3','4','0','4.5','2','4.5','2.5','5.5','6.5','0']"
3,"['1','2','1','3','1','0','2.5','1','1','5.5','3.5','1.5','0']"
4,"['4','1','2','3','4','0','4','3','1.5','3','6','3','0']"
5,"['3','3','3','2','4','0','4.5','3','3.5','1.5','2','2','0']"
6,"['3','3','1','3','5','0','3','4.5','2.5','3.5','2.5','3.5','0']"
7,"['4','5','1','4','2','0','2','3.5','2','4.5','3.5','5.5','0']"
8,"['5','3','1','5','1','0','6.5','2.5','4.5','5','1','2','0']"
9,"['1','5','1','2','5','0','2','6','2','6','3','6.5','0']"
10,"['4','4','3','4','2','0','5','5','5.5','1.5','6','5.5','0']"
11,"['5','5','4','5','1','0','6.5','6.5','4','5.5','6','5','0']"
12,"['5','4','4','5','2','0','1','2','4','4','4.5','2','0']"
13,"['1','1','5','5','1','0','1','6','2','2.5','4','2.5','0']"
14,"['4','3','2','2','4','0','2.5','2.5','6','2','3','1.5','0']"
15,"['2','3','1','2','3','0','1','3.5','2','4.5','3','6.5','0']"
16,"['1','4','5','3','5','0','1','5.5','2.5','2','2','3.5','0']"
17,"['4','1','5','4','3','0','5.5','1.5','1','2.5','4.5','4','0']"
18,"['3','1','5','1','5','0','2','4','3.5','5.5','4.5','3','0']"
19,"['3','2','3','4','3','0','4.5','5','4.5','1','5','3.5','0']"
20,"['2','3','3','5','5','0','3','4','4.5','3.5','1.5','5','0']"
21,"['3','3','5','4','2','0','1','3','5.5','2.5','4.5','1','0']"
22,"['1','2','4','4','4','0','6','4.5','5.5','1','4','6.5','0']"
23,"['3','2','4','3','4','0','5','6','3','3.5','4','1','0']"
24,"['2','5','5','1','4','0','1.5','5','2','1','1','4.5','0']"
25,"['2','5','4','5','3','0','6','3.5','5','2.5','5.5','3','0']"
26,"['1','2','4','3','1','0','5','5.5','6.5','2.5','1','1.5','0']"
27,"['3','5','1','5','4','0','4.5','5.5','5.5','5','5','6','0']"
28,"['2','2','4','3','3','0','4.5','3','5.5','5.5','1','4','0']"
29,"['1','1','2','3','4','0','2.5','5.5','5.5','4.5','4.5','5.5','0']"
30,"['3','4','2','3','1','0','5','6','6','1','1','3.5','0']"
31,"['5','4','5','5','1','0','6','2.5','5.5','6','1','5.5','0']"
32,"['3','1','3','4','5','0','4.5','4','3.5','5.5','6','4.5','0']"
33,"['5','2','3','3','3','0','1','4.5','2.5','6','5','4.5','0']"
34,"['4','4','1','1','5','0','2','1.5','2','3','5','2.5','0']"
35,"['1','1','1','2','3','0','5','5','3.5','1','3','3.5','0']"
36,"['5','4','5','2','2','0','1.5','5','4','6','4','3.5','0']"
37,"['1','3','4','4','5','0','4.5','4','1.5','5','1.5','1','0']"
38,"['4','2','4','4','4','0','3.5','3.5','6.5','3','5.5','1','0']"
39,"['1','4','3','4','1','0','4','3.5','3','1','5.5','2','0']"
40,"['3','3','4','2','2','0','6.5','5','6.5','6','4.5','4.5','0']"
41,"['1','1','2','2','1','0','3.5','4.5','1.5','2','4','1.5','0']"
42,"['5','3','5','1','1','0','6.5','2','5','2.5','1','4','0']"
43,"['5','3','1','3','3','0','3.5','4.5','1.5','6','5','5.5','0']"
44,"['5','2','4','2','5','0','1','2','5','5.5','1','2','0']"
45,"['3','2','1','3','2','0','5.5','2.5','6','5.5','2.5','6','0']"
46,"['2','4','3','1','5','0','6','6.5','2','6.5','3','3','0']"
47,"['1','3','2','1','2','0','2','1','2','6.5','4','2.5','0']"
48,"['3','4','3','3','1','0','1','5','6','4.5','5.5','1','0']"
49,"['2','4','1','1','2','0','4','4','2.5','4','5.5','5.5','0']"
50,"['1','5','5','2','5','0','2.5','5.5','6.5','5','3','4','0']"
51,"['2','4','4','1','1','0','2.5','3.5','5.5','1','5.5','1.5','0']"
52,"['1','5','5','1','3','0','3.5','4','4.5','5.5','6.5','2.5','0']"
53,"['4','5','1','1','3','0','2.5','1.5','6.5','3','1','2.5','0']"
54,"['4','5','4','3','2','0','5','4.5','3','2.5','4.5','5.5','0']"
55,"['1','1','1','3','4','0','5','1.5','4.5','4.5','2.5','1','0']"
56,"['3','3','5','3','4','0','3','4.5','5','4','5','5.5','0']"
57,"['2','2','3','4','4','0','4','2.5','5','2.5','5.5','2.5','0']"
58,"['2','5','3','4','5','0','3.5','3','6','4','5.5','5.5','0']"
59,"['4','2','1','5','4','0','3.5','2','6.5','3.5','5.5','4.5','0']"
60,"['5','5','2','5','1','0','3','4','6.5','6','5.5','2.5','0']"
61,"['3','2','3','5','1','0','6','5.5','5','6','5.5','5.5','0']"
62,"['3','4','3','1','1','0','6','5.5','6.5','2','3.5','1','0']"
63,"['3','5','4','2','4','0','5.5','2.5','6.5','3','4','6.5','0']"
64,"['2','1','1','1','4','0','1','6.5','1.5','5.5','1.5','6.5','0']"
65,"['4','1','5','5','4','0','1.5','2.5','5','5.5','2.5','2','0']"
66,"['1','5','5','2','2','0','3','1.5','5','4.5','4.5','6.5','0']"
67,"['5','5','4','3','3','0','5.5','6.5','4','3.5','4.5','5','0']"
68,"['4','5','2','3','3','0','4.5','5.5','5','6','4.5','1','0']"
69,"['4','1','4','4','4','0','2.5','5','2.5','6.5','3','3.5','0']"
70,"['1','4','2','1','5','0','1.5','6.5','3.5','5','4','4','0']"
71,"['4','4','4','2','2','0','4','2','2.5','5','1.5','5','0']"
72,"['1','2','4','1','1','0','1','3.5','2.5','1.5','4','1.5','0']"
73,"['5','5','5','2','2','0','4.5','6','4','2.5','4','2','0']"
74,"['5','1','2','5','2','0','2','2','3.5','3','6','4.5','0']"
75,"['5','1','4','3','4','0','5.5','2.5','6','5','2','2','0']"
76,"['5','4','4','4','4','0','6','5','1.5','6.5','2','4.5','0']"
77,"['2','1','1','4','1','0','4.5','6','4','6.5','4','3','0']"
78,"['4','3','2','5','5','0','5','5','2.5','1','5.5','3','0']"
79,"['2','1','4','1','3','0','6.5','1','2','5','3','1.5','0']"
80,"['5','5','2','2','5','0','3.5','4.5','2.5','5','6.5','2.5','0']"
81,"['2','5','2','5','4','0','5','3.5','2.5','2','1.5','4','0']"
82,"['4','5','1','4','3','0','1.5','6.5','1.5','6','3.5','6','0']"
83,"['2','2','1','1','4','0','1.5','5','3.5','4','4.5','2.5','0']"
84,"['5','2','1','1','1','0','4.5','6','3.5','2.5','1','4','0']"
85,"['2','3','3','5','4','0','6','4.5','2','3.5','5','4','0']"
86,"['2','3','4','4','4','0','2','6','2','5','6','1.5','0']"
87,"['2','4','5','4','3','0','2.5','4.5','5.5','1.5','5','6','0']"
88,"['4','4','2','1','1','0','3.5','6.5','4.5','1.5','2.5','5.5','0']"
89,"['2','4','5','1','1','0','4.5','1.5','2.5','6','3.5','4.5','0']"
90,"['4','4','1','2','4','0','5.5','1.5','4','1.5','3','4.5','0']"
91,"['2','3','4','2','2','0','2','1.5','1','4.5','2.5','1','0']"
92,"['1','1','3','4','5','0','1.5','6','2.5','2.5','2.5','6.5','0']"
93,"['5','1','4','3','5','0','5.5','1.5','3.5','1.5','2.5','1','0']"
94,"['1','3','1','2','4','0','1.5','2','5.5','2.5','2','4','0']"
95,"['1','2','1','2','2','0','3','4','2','1','5.5','1','0']"
96,"['4','3','2','1','2','0','4.5','5.5','3.5','3.5','4.5','5.5','0']"
97,"['1','1','1','1','2','0','2','5','2','4','3','3.5','0']"
98,"['5','5','4','3','2','0','2','1.5','2','6.5','5.5','3','0']"
99,"['1','1','4','1','4','0','2','2.5','4','3.5','6','5','0']"
100,"['3','2','1','3','3','0','4','6.5','1.5','2.5','5.5','6','0']"
101,"['2','4','3','3','5','0','2.5','3.5','2','5','1','4.5','0']"
102,"['3','5','3','4','5','0','4','5','5.5','3','3','3','0']"
103,"['5','5','3','1','3','0','6.5','4','5.5','6','4.5','3.5','0']"
104,"['5','2','5','4','4','0','2','6','5','1.5','4.5','1','0']"
105,"['1','3','3','5','4','0','2.5','1','6','3.5','3.5','3.5','0']"
106,"['5','2','1','5','1','0','1','1','5.5','5.5','5.5','5','0']"
107,"['1','5','2','4','4','0','2.5','3','5','5','5','6','0']"
108,"['4','1','5','5','2','0','6.5','2','3.5','5.5','5.5','2.5','0']"
109,"['4','2','2','2','1','0','2','6','3','6.5','1','6','0']"
110,"['1','3','1','5','4','0','3','6.5','2.5','3','3.5','1.5','0']"
111,"['3','3','2','2','3','0','1.5','6','3','3','6.5','4.5','0']"
112,"['3','2','4','5','3','0','2','6','2','4','6.5','5.5','0']"
113,"['5','5','2','5','3','0','5','2.5','3.5','4.5','2','2','0']"
114,"['4','5','2','5','4','0','2','5.5','1','1.5','1.5','1','0']"
115,"['4','3','4','2','1','0','4','3.5','3.5','5.5','5.5','5','0']"
116,"['5','5','3','4','2','0','1.5','5.5','4.5','2','1','4','0']"
117,"['2','4','2','4','5','0','5.5','3.5','4.5','3.5','6.5','2','0']"
118,"['3','5','5','5','5','0','3','6','4','6.5','4.5','5','0']"
119,"['1','4','3','5','4','0','4.5','2.5','3.5','1','5.5','3','0']"
120,"['4','1','4','4','4','0','5.5','1','5','6','5','4.5','0']"
121,"['1','4','1','5','2','0','2.5','6','5','6.5','6.5','6.5','0']"
122,"['2','2','2','2','4','0','1','3.5','6.5','4','6','6','0']"
123,"['1','3','5','1','5','0','2','6.5','4','6.5','1.5','3.5','0']"
124,"['4','2','3','4','5','0','1.5','3','3','3.5','4.5','1.5','0']"
125,"['1','3','2','5','5','0','5.5','5','2.5','2','5','4.5','0']"
126,"['4','1','2','4','2','0','3.5','3.5','2','1.5','6','1.5','0']"
127,"['3','4','2','3','1','0','1','2.5','2.5','1.5','4','5','0']"
128,"['1','2','1','2','3','0','2','1','1.5','3','2.5','6.5','0']"
129,"['3','2','1','2','5','0','3','2','5.5','1.5','3.5','1.5','0']"
130,"['5','1','4','4','1','0','5.5','3.5','3','4.5','1.5','6.5','0']"
131,"['4','2','1','5','2','0','6.5','3','1','5.5','5.5','2','0']"
132,"['4','4','3','1','1','0','3.5','5','6','1','6.5','6.5','0']"
133,"['2','3','4','1','4','0','4.5','1.5','1','4','2.5','1.5','0']"
134,"['4','3','1','5','5','0','4','1','2','1','6.5','4.5','0']"
135,"['4','1','2','4','5','0','2.5','1.5','5.5','3.5','3','5','0']"
136,"['4','3','3','4','5','0','5.5','2','4.5','3.5','4','2','0']"
137,"['2','4','5','2','5','0','3.5','4','6','5.5','1.5','4','0']"
138,"['5','2','4','3','2','0','6.5','2.5','2.5','1.5','4.5','5.5','0']"
139,"['3','1','3','5','1','0','4','5.5','3','3.5','1.5','1','0']"
140,"['2','4','5','5','3','0','6','5','3.5','1.5','6','1.5','0']"
141,"['3','5','2','1','4','0','3','2.5','6.5','3','3','4.5','0']"
142,"['4','4','4','1','2','0','4','2','3','1.5','5.5','5','0']"
143,"['4','2','3','5','2','0','4','4.5','2.5','1.5','4','4.5','0']"
144,"['1','1','5','1','2','0','1.5','4.5','4.5','6.5','4','3','0']"
145,"['4','2','4','2','3','0','4.5','4','1.5','3.5','1','4','0']"
146,"['3','3','4','5','1','0','2','2.5','4','6.5','5.5','4','0']"
147,"['5','4','2','5','1','0','6','3','3','4','3','6','0']"
148,"['4','3','1','1','5','0','2.5','2','1.5','5','3','6','0']"
149,"['2','5','2','2','2','0','6','1','1','4','3.5','2.5','0']"
150,"['4','5','1','3','2','0','6.5','2','1','5','4.5','2.5','0']"
151,"['1','2','2','4','4','0','5.5','5.5','6.5','4.5','3.5','4','0']"
152,"['4','1','5','3','3','0','4.5','3.5','4','5','1','2','0']"
153,"['2','1','3','1','3','0','1','6.5','2.5','6.5','1.5','6','0']"
154,"['1','2','5','4','2','0','2','4','4','5','3.5','5','0']"
155,"['1','5','2','3','3','0','5','3.5','3.5','3.5','5','2.5','0']"
156,"['3','5','5','5','3','0','2','2.5','2.5','3.5','5.5','3','0']"
157,"['2','3','4','5','1','0','4','3','6.5','4.5','1','6.5','0']"
158,"['1','2','5','5','3','0','6','4','6.5','2.5','4.5','1','0']"
159,"['2','4','3','3','2','0','1.5','1.5','3','3.5','2','2','0']"
160,"['5','1','4','2','1','0','5','5','6.5','4','6.5','4.5','0']"
161,"['2','1','5','2','2','0','2.5','3.5','2','6.5','1','4.5','0']"
162,"['4','5','4','4','4','0','6','2','3','1','5','1.5','0']"
163,"['1','1','1','3','3','0','3.5','3.5','5.5','3.5','5','2.5','0']"
164,"['2','2','3','1','3','0','5','3','1','3','1.5','4.5','0']"
165,"['3','1','4','4','2','0','4.5','3','2','3.5','5.5','2','0']"
166,"['4','3','1','5','4','0','6.5','6','2','4.5','3.5','6','0']"
167,"['3','2','2','3','2','0','2.5','1.5','1','5.5','3.5','5.5','0']"
168,"['2','5','4','4','2','0','1','4','5','2.5','1.5','1.5','0']"
169,"['4','4','5','1','3','0','6.5','6','6.5','1.5','4.5','1.5','0']"
170,"['5','3','5','5','3','0','5','2.5','5','3.5','2.5','4','0']"
171,"['5','1','4','3','4','0','1.5','2.5','5','5.5','4','3','0']"
172,"['3','5','5','3','2','0','6','6.5','2.5','6.5','2','6','0']"
173,"['4','4','1','4','3','0','6','1.5','3','2.5','1.5','6.5','0']"
174,"['4','2','5','4','2','0','1','2','2','1','4.5','2','0']"
175,"['1','2','5','5','2','0','1.5','6','1.5','4','1.5','4.5','0']"
176,"['2','4','5','2','3','0','3.5','2','3.5','6','1.5','3.5','0']"
177,"['2','2','2','3','1','0','1.5','4.5','1.5','4','1.5','4.5','0']"
178,"['4','1','1','2','5','0','3.5','4','2.5','5.5','4','5','0']"
179,"['3','4','4','5','5','0','3','5','6.5','1.5','1.5','4','0']"
180,"['3','5','4','3','5','0','5.5','2','1','3','1','2','0']"
181,"['1','3','2','5','3','0','1.5','5','3','4.5','5','2.5','0']"
182,"['5','3','5','1','4','0','5','4','5','3.5','1.5','5','0']"
183,"['2','4','1','3','1','0','5','3','4.5','2.5','5.5','1','0']"
184,"['2','5','2','1','5','0','5','3.5','4.5','6','5','1','0']"
185,"['1','3','2','2','2','0','4.5','1.5','5.5','1','2','3','0']"
186,"['5','1','4','5','3','0','3.5','1','6','3','2','4.5','0']"
187,"['4','1','2','2','2','0','5','5.5','2','3','5','1.5','0']"
188,"['4','4','4','5','3','0','1.5','2','5','3.5','2.5','3','0']"
189,"['2','3','1','1','3','0','5.5','4','1','5','5.5','5','0']"
190,"['3','5','3','2','5','0','5','1.5','2','1','4','5.5','0']"
191,"['5','3','4','5','1','0','4','5.5','5','5','6','6.5','0']"
192,"['5','1','5','4','3','0','6','6','4','1','6','4','0']"
193,"['4','5','1','2','1','0','5','5.5','5.5','3','6','1.5','0']"
194,"['2','1','1','3','3','0','2.5','4.5','1.5','5','5','5','0']"
195,"['3','4','1','4','4','0','2','6','1','6.5','1.5','1.5','0']"
196,"['3','4','3','3','4','0','4.5','1.5','1','4','5.5','4','0']"
197,"['1','1','3','5','2','0','1','5.5','3.5','2','5.5','2','0']"
198,"['5','1','3','4','3','0','2','1','6.5','6.5','5.5','4.5','0']"
199,"['5','4','4','3','3','0','2.5','6','4.5','4','6.5','1.5','0']"
200,"['2','1','2','1','1','0','1','6','1.5','4','3','6','0']"
201,"['3','1','2','2','5','0','1','4','1.5','1.5','4.5','1','0']"
202,"['3','4','2','2','1','0','2','2.5','5.5','3.5','5','5.5','0']"
203,"['5','4','2','3','3','0','4.5','4','5','5.5','2','4','0']"
204,"['2','3','5','5','1','0','2.5','1','1','5','1','2.5','0']"
205,"['5','3','2','2','5','0','4.5','3.5','2.5','3.5','3.5','5','0']"
206,"['1','4','3','3','5','0','4.5','2.5','6.5','4','3.5','3.5','0']"
207,"['1','4','3','2','2','0','2','6','1.5','1.5','3','1','0']"
208,"['3','1','3','2','5','0','4.5','3.5','5','6','4','5.5','0']"
209,"['5','4','3','3','2','0','2.5','3','1','2.5','1','3','0']"
210,"['1','5','2','4','1','0','6','6','3.5','3','6','1','0']"
211,"['4','4','2','1','4','0','4.5','4','4.5','2.5','2','3.5','0']"
212,"['4','3','4','2','4','0','2.5','5','1','2.5','3.5','6.5','0']"
213,"['2','3','3','5','5','0','3','3.5','5','2','6.5','6','0']"
214,"['3','5','2','5','3','0','3.5','3.5','4.5','4','4.5','1.5','0']"
215,"['1','3','2','1','1','0','6.5','3.5','6.5','1.5','3.5','4.5','0']"
216,"['4','1','4','4','1','0','2.5','1.5','4','5','1','6.5','0']"
217,"['1','3','1','1','4','0','4.5','6.5','3.5','2','1','3','0']"
