personID,traj
1,"['5','2','1','4','3','0','2','2.5','1','6','2.5','5.5','0']"
2,"['1','4','5','3','5','0','6.5','5','2.5','4.5','6','3.5','0']"
3,"['2','1','4','4','2','0','1','5','2.5','4','3','5','0']"
4,"['2','1','2','3','4','0','2.5','1.5','1','4','2.5','4.5','0']"
5,"['5','1','4','2','4','0','2','2','4.5','5.5','3','1','0']"
6,"['1','4','4','1','4','0','6.5','6.5','5','2','4.5','3','0']"
7,"['3','1','5','5','1','0','3','3.5','6','6.5','6','2','0']"
8,"['5','2','2','3','5','0','2.5','3.5','6','1.5','5','2','0']"
9,"['3','1','1','5','2','0','4','4.5','3.5','1','3.5','3','0']"
10,"['2','4','5','4','4','0','3','6.5','2.5','5','3.5','5.5','0']"
11,"['3','3','1','2','2','0','5.5','4.5','2.5','5.5','4.5','2.5','0']"
12,"['1','3','2','3','2','0','1.5','2.5','2.5','6','2.5','1','0']"
13,"['5','1','4','2','3','0','3.5','4','4','6.5','1.5','3.5','0']"
14,"['3','3','4','1','2','0','2.5','2','1.5','1.5','1.5','5','0']"
15,"['4','3','3','1','2','0','3.5','1','6','6.5','2','4','0']"
16,"['5','3','4','2','2','0','5','5','6','1','2','4.5','0']"
17,"['1','5','4','2','3','0','6','4.5','4.5','2.5','2.5','4','0']"
18,"['4','1','4','5','5','0','5','4.5','4.5','4.5','1.5','2.5','0']"
19,"['4','5','4','3','1','0','4.5','1.5','6','5.5','2.5','6','0']"
20,"['2','2','3','1','1','0','4','1.5','1.5','3.5','6','2','0']"
21,"['1','4','4','2','3','0','1.5','5','3','3.5','4','3','0']"
22,"['1','3','2','4','5','0','4','1','5','4','6','3.5','0']"
23,"['1','1','1','3','3','0','5','6','2.5','6','2','6.5','0']"
24,"['1','4','5','3','5','0','3','5.5','5','6','5','1.5','0']"
25,"['4','1','2','3','3','0','1.5','5.5','5','3.5','3.5','5','0']"
26,"['5','2','3','5','1','0','4.5','4.5','4.5','3.5','1','4','0']"
27,"['5','1','5','5','1','0','2.5','4','2','6','1','5.5','0']"
28,"['5','1','3','3','3','0','2','6','5','6','1','6.5','0']"
29,"['5','3','5','2','5','0','3.5','5','3.5','3','1.5','4.5','0']"
30,"['2','3','5','5','3','0','1','2','1','4','4.5','1','0']"
31,"['3','5','3','2','3','0','4.5','4','3.5','5.5','4.5','2.5','0']"
32,"['5','2','5','4','2','0','3.5','6','1.5','5.5','5.5','4.5','0']"
33,"['5','5','2','4','4','0','3','4.5','6.5','1.5','1.5','4','0']"
34,"['3','2','2','3','4','0','5.5','6','1.5','5','6.5','4','0']"
35,"['2','5','2','3','2','0','6.5','2.5','6','2','1.5','6.5','0']"
36,"['1','1','4','4','1','0','5','3.5','2.5','1','6','5.5','0']"
37,"['1','1','1','5','3','0','2','6.5','1.5','3.5','5.5','3','0']"
38,"['5','3','1','3','4','0','5','1','6.5','2.5','1.5','5.5','0']"
39,"['2','3','4','4','3','0','1','3','1','1.5','1.5','4.5','0']"
40,"['1','3','1','1','4','0','4.5','4','4.5','5.5','1','4.5','0']"
41,"['3','3','5','3','4','0','2','5.5','4','4','6.5','5.5','0']"
42,"['3','3','5','4','3','0','3.5','2','1','3.5','2.5','2','0']"
43,"['2','2','5','4','1','0','4.5','2','5.5','2.5','3.5','3','0']"
44,"['4','2','5','4','5','0','6.5','6.5','3','3','4.5','6.5','0']"
45,"['5','5','1','4','5','0','2','4.5','6.5','5','6.5','1.5','0']"
46,"['4','1','2','2','5','0','5.5','5','1.5','4','1.5','5.5','0']"
47,"['4','2','1','4','4','0','5','2','5','5','1','6','0']"
48,"['2','5','3','3','5','0','1','2.5','6.5','4.5','4','3','0']"
49,"['5','1','3','1','3','0','6.5','6','6.5','6.5','5','4','0']"
50,"['3','2','3','4','2','0','5','2.5','3.5','2','5','4','0']"
51,"['5','3','1','4','5','0','5','4.5','3','6','4.5','4.5','0']"
52,"['4','1','3','2','4','0','3.5','5.5','3.5','6.5','2','5.5','0']"
53,"['5','4','1','1','2','0','4','1','2','2','2','2.5','0']"
54,"['1','2','5','5','5','0','2','6.5','2','3','4','6.5','0']"
55,"['4','4','2','5','5','0','6','4.5','6.5','1','5.5','5.5','0']"
56,"['3','1','5','5','2','0','3','2.5','2','3','3.5','6','0']"
57,"['3','2','5','2','4','0','1','5','1.5','6','3','2.5','0']"
58,"['1','5','2','1','3','0','4','1','6.5','3.5','2','3','0']"
59,"['4','5','3','3','4','0','1','4','4','2.5','5','6','0']"
60,"['5','1','3','5','3','0','6','6','2','4','3','2','0']"
61,"['2','4','3','5','1','0','2','3','5.5','1','5.5','3.5','0']"
62,"['2','5','5','1','5','0','1','6.5','2','2','1','1','0']"
63,"['5','2','5','2','3','0','5','2.5','3.5','3','5','3','0']"
64,"['1','2','4','3','2','0','4','5','1.5','5.5','3','6','0']"
65,"['4','5','3','4','1','0','4','5.5','4','3.5','3.5','3.5','0']"
66,"['4','4','5','3','3','0','3.5','4.5','2.5','1.5','6','1.5','0']"
67,"['2','5','1','3','2','0','5','5','1.5','4','5','2.5','0']"
68,"['2','2','5','4','4','0','1.5','1','5.5','3','5','2.5','0']"
69,"['4','1','1','3','2','0','3','2','1.5','3.5','4.5','3','0']"
70,"['5','5','5','3','4','0','6','4.5','6.5','5','2.5','5.5','0']"
71,"['1','1','5','3','4','0','3','6','5','3.5','1','4.5','0']"
72,"['2','5','5','4','5','0','3.5','3','1','2.5','3','3','0']"
73,"['1','1','4','2','3','0','5','5.5','5.5','1.5','6','5','0']"
